Time,Days,235U,239Pu,238U,241Pu
0,0,73.942,15.304,7.213,2.772
31.7,0.578525,73.942,15.304,7.213,2.772
105.1,1.918075,73.711,15.581,7.213,2.811
126.1,2.301325,73.643,15.662,7.213,2.822
322.9,5.892925,72.991,16.371,7.211,2.915
483.3,8.820225,72.456,16.815,7.21,2.942
504.3,9.203475,72.388,16.864,7.21,2.939
667.1,12.174575,71.878,17.204,7.209,2.899
878.9,16.039925,71.301,17.593,7.208,2.909
987.6,18.0237,71.053,17.799,7.208,2.939
1170.1,21.354325,70.686,18.338,7.207,3.011
1328.9,24.252425,70.383,18.686,7.205,3.082
1461.3,26.668725,70.116,18.961,7.204,3.143
1805.4,32.94855,69.318,19.684,7.201,3.289
1990.8,36.3321,68.882,20.131,7.201,3.334
1996.2,36.43065,68.87,20.144,7.201,3.335
2043.7,37.297525,68.763,20.258,7.202,3.328
2176.1,39.713825,68.484,20.525,7.203,3.003
2202.6,40.19745,68.431,20.571,7.203,2.983
2652.6,48.40995,67.579,21.282,7.197,3.073
2811.5,51.309875,67.276,21.533,7.188,3.131
2864.4,52.2753,67.173,21.622,7.184,3.148
3182.1,58.073325,66.512,22.205,7.179,3.145
3208.6,58.55695,66.454,22.249,7.181,3.146
3235,59.03875,66.395,22.292,7.183,3.148
3314.5,60.489625,66.215,22.418,7.193,3.159
3817.5,69.669375,65.094,23.213,7.33,3.291
3843.9,70.151175,65.042,23.259,7.337,3.3
3870.4,70.6348,64.99,23.306,7.343,3.311
3949.8,72.08385,64.842,23.457,7.358,3.347
4188.1,76.432825,64.441,23.886,7.375,3.477
4452.8,81.2636,64.026,24.254,7.364,3.559
4611.7,84.163525,63.77,24.459,7.354,3.598
4823.5,88.028875,63.416,24.725,7.348,3.639
4850,88.5125,63.372,24.758,7.348,3.642
5061.7,92.376025,63.011,25.032,7.348,3.637
5194.1,94.792325,62.785,25.229,7.349,3.64
5273.5,96.241375,62.65,25.351,7.35,3.651
5670.6,103.48845,61.995,25.978,7.349,3.744
5829.5,106.388375,61.745,26.237,7.347,3.795
5856,106.872,61.703,26.281,7.347,3.805
5935.4,108.32105,61.577,26.416,7.346,3.84
6173.7,112.670025,61.177,26.741,7.345,3.963
6200.1,113.151825,61.129,26.769,7.344,3.971
6279.5,114.600875,60.979,26.853,7.344,3.992
6597.2,120.3989,60.325,27.179,7.342,4.063
6809,124.26425,59.922,27.412,7.34,4.117
6862,125.2315,59.835,27.477,7.339,4.136
6888.4,125.7133,59.795,27.512,7.339,4.147
7179.7,131.029525,59.446,27.915,7.338,4.298
7206.1,131.511325,59.42,27.946,7.338,4.302
7232.6,131.99495,59.395,27.975,7.338,4.306
7523.8,137.30935,59.116,28.279,7.342,4.329
7815,142.62375,58.759,28.586,7.338,4.415
7868,143.591,58.684,28.65,7.336,4.467
7894.5,144.074625,58.645,28.683,7.334,4.52
7920.9,144.556425,58.606,28.719,7.332,4.973
8132.7,148.421775,58.269,29.023,7.316,4.822
8185.7,149.389025,58.18,29.09,7.313,4.78
8503.4,155.18705,57.632,29.444,7.321,4.632
8556.3,156.152475,57.543,29.499,7.33,4.648
8741.6,159.5342,57.254,29.685,7.38,4.878
8821,160.98325,57.141,29.761,7.406,5.019
8926.9,162.915925,57,29.856,7.441,5.135
9191.7,167.748525,56.662,30.096,7.494,5.084
9218.2,168.23215,56.627,30.123,7.495,5.07
9377,171.13025,56.406,30.291,7.477,4.994
9509.4,173.54655,56.2,30.434,7.442,4.963
9827.1,179.344575,55.656,30.767,7.336,5.066
9880,180.31,55.566,30.817,7.322,5.099
9985.9,182.242675,55.391,30.909,7.3,5.167
10197.7,186.108025,55.071,31.102,7.283,5.296
10541.9,192.389675,54.632,31.479,7.318,5.425
10621.3,193.838725,54.543,31.565,7.336,5.442
10833.1,197.704075,54.323,31.773,7.393,5.462
10859.5,198.185875,54.296,31.793,7.401,5.461
11177.2,203.9839,53.96,31.939,7.483,5.448
11203.7,204.467525,53.929,31.961,7.488,5.459
11256.7,205.434775,53.865,32.007,7.496,5.483
11812.6,215.57995,53.088,32.61,7.479,5.772
11865.6,216.5472,53.018,32.673,7.467,5.792
12183.2,222.3434,52.652,32.945,7.404,5.783
12209.7,222.827025,52.625,32.958,7.403,5.79
12448,227.176,52.404,33.068,7.475,5.897
12527.4,228.62505,52.339,33.105,7.541,5.939
12845.1,234.423075,52.103,33.278,7.883,6.111
12871.6,234.9067,52.082,33.298,7.905,6.123
13056.9,238.288425,51.916,33.498,7.977,6.127
13136.3,239.737475,51.83,33.575,7.961,6.122
13189.3,240.704725,51.765,33.613,7.938,6.126
13692.3,249.884475,51.076,33.859,7.467,6.248
13771.7,251.333525,50.982,33.899,7.422,6.276
13798.2,251.81715,50.954,33.914,7.426,6.286
13851.1,252.782575,50.901,33.947,7.46,6.309
14015.3,255.779225,50.761,34.106,7.545,6.401
14142.3,258.096975,50.668,34.243,7.565,6.453
14195.3,259.064225,50.631,34.282,7.569,6.468
14407.1,262.929575,50.472,34.394,7.58,6.519
14804.2,270.17665,50.071,34.582,7.623,6.617
14857.1,271.142075,50.011,34.615,7.634,6.638
15002.9,273.802925,49.84,34.764,7.673,6.727
15042.4,274.5238,49.794,34.82,7.687,6.75
15121.9,275.974675,49.701,34.909,7.717,6.784
15174.8,276.9401,49.639,34.951,7.74,6.802
15651.3,285.636225,49.116,35.185,7.944,6.918
15783.7,288.052525,48.984,35.252,7.972,6.949
15836.7,289.019775,48.931,35.284,7.976,6.962
16053.5,292.976375,48.71,35.506,7.934,7.067
16127.9,294.334175,48.629,35.58,7.894,7.115
16180.8,295.2996,48.568,35.619,7.858,7.149
16286.7,297.232275,48.437,35.68,7.771,7.214
16789.7,306.412025,47.74,35.92,7.268,7.449
16842.7,307.379275,47.676,35.953,7.226,7.453
16922.1,308.828325,47.59,36.015,7.173,7.437
17041.1,311.000075,47.488,36.153,7.125,7.408
17133.9,312.693675,47.429,36.248,7.118,7.447
17186.8,313.6591,47.4,36.288,7.126,7.485
17504.5,319.457125,47.249,36.45,7.293,7.764
17769.3,324.289725,47.062,36.575,7.503,7.949
17848.7,325.738775,46.993,36.621,7.561,7.955
18007.6,328.6387,46.845,36.767,7.655,7.835
18113.4,330.56955,46.739,36.889,7.695,7.78
18139.9,331.053175,46.712,36.914,7.702,7.778
18192.8,332.0186,46.658,36.956,7.714,7.783
18748.8,342.1656,46.061,37.243,7.688,8.077
18801.7,343.131025,46.004,37.266,7.68,8.111
18854.7,344.098275,45.947,37.29,7.671,8.144
19037.2,347.4289,45.751,37.373,7.649,8.233
19198.9,350.379925,45.579,37.456,7.643,8.277
19384.2,353.76165,45.382,37.55,7.653,8.323
19860.7,362.457775,44.874,37.789,7.737,8.442
20019.5,365.355875,44.704,37.869,7.775,8.482
20024.8,365.4526,44.698,37.872,7.776,8.483
