Bin_Center[MeV],Sigma(w/ IBD cross section)[cm^2/fission/MeV],Sigma(w/o IBD cross section)[cm^2/fission/MeV]
1.925,2.74302e-44,1.28793
2.175,6.34555e-44,1.06046
2.425,9.44456e-44,0.877182
2.675,1.22995e-43,0.735927
2.925,1.43622e-43,0.603947
3.175,1.63544e-43,0.511274
3.425,1.72767e-43,0.417965
3.675,1.74413e-43,0.336692
3.925,1.73564e-43,0.273716
4.175,1.65553e-43,0.217448
4.425,1.5203e-43,0.169012
4.675,1.34853e-43,0.128543
4.925,1.22008e-43,0.100837
5.175,1.15088e-43,0.0833094
5.425,1.03621e-43,0.0662842
5.675,8.90243e-44,0.0506637
5.925,7.69172e-44,0.0392418
6.175,6.3008e-44,0.0289769
6.425,4.89161e-44,0.020378
6.675,3.97818e-44,0.0150936
6.925,3.10413e-44,0.0107762
7.175,2.19716e-44,0.00700768
7.425,1.50023e-44,0.0044098
7.675,9.93074e-45,0.00269983
8.65,2.05298e-45,0.000472029